Course,Title,Units,Lec/Sec,Days,Begin,End,Bldg/Room,Location,Instructor(s),
15997,Graduate Reading and Research,Jan-60,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,PP,TBA,,,TBA,"Lisbon, Portugal",Instructor TBA,
15998,Practicum in Computer Science,Jan-36,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
Creative Enterprise:Sch of Pub Pol & Mgt,,,,,,,,,,
93711,Entrepreneurship in Creative Enterprises,6,A3,R,06:00PM,08:50PM,HBH 236,"Pittsburgh, Pennsylvania",Caric,
93716,Human Resource Management in Creative Enterprises,6,A3,W,06:00PM,08:50PM,HBH 1003,"Pittsburgh, Pennsylvania",Meddis,
,,,B4,R,06:00PM,08:50PM,HBH 1003,"Pittsburgh, Pennsylvania",Meddis,
93725,Financial Statement Literacy,6,A3,MWF,09:00AM,10:20AM,HBH 1502,"Pittsburgh, Pennsylvania",Pastor,
93726,Fundamentals of Finance,6,A4,MWF,09:00AM,10:20AM,HBH 1502,"Pittsburgh, Pennsylvania",Pastor,
93731,Technology Planning and Implementation for Creative Enterprises,6,A4,MW,01:30PM,02:50PM,HBH 239,"Pittsburgh, Pennsylvania",Moore,
93751,Creative Enterprises: For-Profit Systems and Structures,6,A4,M,06:00PM,08:50PM,HBH 236,"Pittsburgh, Pennsylvania",Baker,
93770,Scorsese and his Films,6,A,F,10:30AM,01:20PM,PCA 114,"Pittsburgh, Pennsylvania",Rauh,
93804,Arts Education,6,A4,MW,09:00AM,10:20AM,HBH 1002,"Pittsburgh, Pennsylvania",Tambucci,
93807,Museum Operations,6,A3,R,06:00PM,08:50PM,HBH 1003,"Pittsburgh, Pennsylvania",Mccall,
93809,Public Art,6,A4,W,06:00PM,08:50PM,HBH 1003,"Pittsburgh, Pennsylvania",Piechocki,
93812,Planning & Managing Performing Arts,6,A3,TR,01:30PM,02:50PM,HBH 1002,"Pittsburgh, Pennsylvania",Crawford,
93821,Arts Marketing and Public Relations,6,A3,TR,04:30PM,05:50PM,HBH 1002,"Pittsburgh, Pennsylvania",Crawford,
93826,Fundraising Fundamentals for Arts Managers,6,A3,T,06:00PM,08:50PM,HBH 1003,"Pittsburgh, Pennsylvania",Navarro,
,,,B3,MW,04:30PM,05:50PM,HBH 237,"Pittsburgh, Pennsylvania",Navarro,
93827,Sponsorships and Grants: Strategies and Practices,6,A4,T,06:00PM,08:50PM,HBH 2503,"Pittsburgh, Pennsylvania",Coltin,
,,,B4,W,06:00PM,08:50PM,HBH 237,"Pittsburgh, Pennsylvania",Coltin,
93836,Cultural Heritage Management: International Perspectives in the Public Sector,6,A4,TR,09:00AM,10:20AM,HBH 2503,"Pittsburgh, Pennsylvania",Zan,
93846,Cultural Policy & Advocacy in the US,6,A4,M,06:00PM,08:50PM,HBH 237,"Pittsburgh, Pennsylvania",Pankratz,
93853,Digital Content & Delivery,6,L,F,02:30PM,05:20PM,TBA,"Los Angeles, California",Moczydlowsky,
93854,Film Acquistion,3,L,S,02:00PM,05:20PM,TBA,"Los Angeles, California",Brodlie,
93855,Intellectual Property,6,L,S,02:30PM,05:20PM,DNM DNM,"Los Angeles, California",Schneider,
93856,Business Development,6,L,S,10:00AM,12:50PM,DNM DNM,"Los Angeles, California",Wood,
93858,Market Research in the Entertainment Industry,3,L,W,06:00PM,08:50PM,DNM DNM,"Los Angeles, California",Rosen,
93859,Music Supervision,3,L4,W,06:00PM,08:50PM,DNM DNM,"Los Angeles, California",Cuello,
93863,Multi Platform Prod & Mktg,3,L,TBA,,,DNM DNM,"Los Angeles, California",Instructor TBA,
93866,Creative Producing,6,L,F,10:00AM,12:50PM,TBA,"Los Angeles, California",Christopher,
93873,Film Exhibition,3,L,S,02:30PM,05:20PM,TBA,"Los Angeles, California",Mier,
93888,Practicum II,1,L,TBA,,,DNM DNM,"Los Angeles, California",Green,
93890,Capstone Management Project II,9,L,TBA,,,DNM DNM,"Los Angeles, California",Green,
,,,LA,TBA,,,DNM DNM,"Los Angeles, California","Green, Tarnoff",
,,,LB,TBA,,,DNM DNM,"Los Angeles, California","Green, Eich",
,,,LC,TBA,,,DNM DNM,"Los Angeles, California",Green,
,,,LD,TBA,,,DNM DNM,"Los Angeles, California","Green, Rosen",
,,,LE,TBA,,,DNM DNM,"Los Angeles, California",Green,
,,,LF,TBA,,,DNM DNM,"Los Angeles, California","Green, Stein",
Design,,,,,,,,,,
51050,Study Abroad,0,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
51051,Study Abroad,0,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
51102,Design Lab,9,A,TR,08:30AM,11:20AM,MM A6,"Pittsburgh, Pennsylvania","Chung, Stadelmeier",
51104,Design Workshop II,3,A,F,08:30AM,11:20AM,MM A6,"Pittsburgh, Pennsylvania",Baskinger,
51122,Collaborative Visualizing,9,A,MW,08:30AM,11:20AM,MM A6,"Pittsburgh, Pennsylvania","Baskinger, Zywica",
51132,Introduction to Photo Design,4.5,A3,T,01:30PM,04:20PM,MM A11,"Pittsburgh, Pennsylvania",Vitone,
,,,B3,R,01:30PM,04:20PM,MM A11,"Pittsburgh, Pennsylvania",Vitone,
51134,Photo Design II,4.5,A4,T,01:30PM,04:20PM,MM A11,"Pittsburgh, Pennsylvania",Brodsky,
,,,B4,R,01:30PM,04:20PM,MM A11,"Pittsburgh, Pennsylvania",Brodsky,
51172,Systems,9,A,TR,12:00PM,01:20PM,MM A14,"Pittsburgh, Pennsylvania","Tonkinwise, Sutika Sipus",
51202,CD Studio II: Organizing Information,9,A,MW,01:30PM,04:20PM,MM 115,"Pittsburgh, Pennsylvania",Twigg,
51212,ID Studio II: Meaning of Form,9,A,MW,08:30AM,11:20AM,PH 23,"Pittsburgh, Pennsylvania",Hanington,
51222,Decoding Place,9,A,TR,08:30AM,11:20AM,MM 203,"Pittsburgh, Pennsylvania","Mentzer, Hughes",
51224,CD: Web Design,9,A,M,06:30PM,09:20PM,MM A11,"Pittsburgh, Pennsylvania",Sciuto,
51231,Calligraphy I,9,A,W,06:30PM,09:20PM,MM 203,"Pittsburgh, Pennsylvania",Rosen,
51232,Calligraphy II,9,A,W,06:30PM,09:20PM,MM 203,"Pittsburgh, Pennsylvania",Rosen,
51236,Information Design,9,A,MW,12:30PM,02:20PM,HL 106A,"Pittsburgh, Pennsylvania",Arnold Mages,
51242,How Things Work: Mechanics and Electronics,9,A,MW,01:30PM,04:20PM,PH 27,"Pittsburgh, Pennsylvania",Stadelmeier,
51246,Visual Communication Fundamentals,4.5,A3,T,11:30AM,01:20PM,MM 121,"Pittsburgh, Pennsylvania",Instructor TBA,
51262,Communication Design Fundamentals,9,A,MW,06:30PM,07:50PM,CFA 318,"Pittsburgh, Pennsylvania",Khalid,
,,,B,TR,04:30PM,05:50PM,CFA 318,"Pittsburgh, Pennsylvania",Rao,
,,,C,MW,04:30PM,05:50PM,CFA 318,"Pittsburgh, Pennsylvania",Pham,
51264,Industrial Design Fundamentals,9,A,TR,06:30PM,08:20PM,MM 203,"Pittsburgh, Pennsylvania",Howell,
51302,CD Studio IV: Designing with Systems,9,A,TR,01:30PM,04:20PM,MM 111,"Pittsburgh, Pennsylvania",Twigg,
51312,Products in Systems: ID IV,9,A,TR,01:30PM,04:20PM,MM 211,"Pittsburgh, Pennsylvania",Chung,
51320,Documentary Photography & Social Interaction,4.5,A3,R,08:30AM,11:20AM,MM A11,"Pittsburgh, Pennsylvania",Brodsky,
51322,Advanced Digital Imaging,4.5,A4,F,01:30PM,04:20PM,MM B3,"Pittsburgh, Pennsylvania",Vitone,
51324,Basic 3D Prototyping,4.5,A3,F,09:00AM,11:50AM,PH 27,"Pittsburgh, Pennsylvania",Stygar,
51328,Advanced Web Design,9,A,MW,04:30PM,06:20PM,MM B3,"Pittsburgh, Pennsylvania",Twigg,
51331,Advanced Calligraphy I,9,A,W,06:30PM,09:20PM,MM 203,"Pittsburgh, Pennsylvania",Rosen,
51332,Advanced Calligraphy II,9,A,W,06:30PM,09:20PM,MM 203,"Pittsburgh, Pennsylvania",Rosen,
51335,Mapping and Diagraming,9,A,MW,11:30AM,01:20PM,MM 121,"Pittsburgh, Pennsylvania",Moyer,
51344,Advanced Digital Prototyping,6,A3,WF,08:30AM,09:50AM,BH 140C,"Pittsburgh, Pennsylvania","Merriman, Sass",
51346,Production Prototyping,6,A4,WF,08:30AM,09:50AM,PH 27,"Pittsburgh, Pennsylvania",Merriman,
51347,Drawing from Nature,9,A,MF,11:30AM,01:20PM,MM 203,"Pittsburgh, Pennsylvania",Mentzer,
51348,Cardboard Modeling I: Exploring expressive form & interaction,6,A3,MW,08:30AM,11:20AM,MM 121,"Pittsburgh, Pennsylvania",Frens,
51352,Cardboard Modeling II: Exploring expressive product behavior,6,A4,MW,08:30AM,11:20AM,MM 121,"Pittsburgh, Pennsylvania",Frens,
51375,Meaning in Images,9,A,F,08:30AM,11:20AM,MM A11,"Pittsburgh, Pennsylvania",Brodsky,
51376,Semantics & Aesthetics,9,A,WF,12:00PM,01:20PM,MM 107,"Pittsburgh, Pennsylvania",Zywica,
51380,Experiential Media,9,A,TR,11:30AM,12:50PM,MM 107,"Pittsburgh, Pennsylvania",Instructor TBA,
51385,Design for Service,9,A,TR,11:30AM,01:20PM,MM A11,"Pittsburgh, Pennsylvania",Forlizzi,
51391,Morality Play: Laboratory for Interactive Media & Values Education,12,A,TR,10:30AM,11:50AM,BH 150,"Pittsburgh, Pennsylvania",Norman,
51396,Design Ethos & Action,9,A,MW,09:00AM,11:20AM,MM A11,"Pittsburgh, Pennsylvania",Scupelli,
51399,Junior Independent Study,12-Mar,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,F,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,G,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,H,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
51404,Senior Project,12,A,MW,01:30PM,04:20PM,MM 212,"Pittsburgh, Pennsylvania",Baskinger,
,,,B,MW,01:30PM,04:20PM,MM 212,"Pittsburgh, Pennsylvania",Vitone,
,,,C,MW,01:30PM,04:20PM,MM 212,"Pittsburgh, Pennsylvania",Hughes,
51422,Interaction Design Studio,9,A,TR,09:00AM,10:20AM,MM 107,"Pittsburgh, Pennsylvania",Instructor TBA,
51426,Beginning Book Arts Lab,6,A,TBA,,,MM B4,"Pittsburgh, Pennsylvania",Dicey,
51427,Advanced Book Arts Workshop,9,A,TBA,,,MM B4,"Pittsburgh, Pennsylvania",Dicey,
51442,BME Design Project,9,A,TR,03:00PM,04:20PM,MM 103,"Pittsburgh, Pennsylvania","Zapanta, Chung",
51452,Furniture Design II,9,A,TR,01:30PM,04:20PM,PH 27,"Pittsburgh, Pennsylvania",Merriman,
51470,Design Practicum,3,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cicozi,
51478,Designed Fictions & Imagined Futures,9,A,TR,01:30PM,03:20PM,MM 107,"Pittsburgh, Pennsylvania",Kelliher,
51482,Interactive Art & Computational Design,10,A,TR,08:30AM,11:20AM,CFA 111,"Pittsburgh, Pennsylvania",Levin,
51499,Senior Independent Study,12-Mar,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,F,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,G,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,H,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,I,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,J,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,K,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
51612,MA Studio II: Intro Interaction Design,12,A,TR,08:30AM,11:20AM,MM 121,"Pittsburgh, Pennsylvania",Instructor TBA,
51626,Prototyping for Interaction Design,12,A,TR,01:30PM,03:20PM,MM 215,"Pittsburgh, Pennsylvania",Frens,
51702,MDES/MPS/MA Seminar II: Transition Design,12,A,MW,10:00AM,11:20AM,MM 215,"Pittsburgh, Pennsylvania",Irwin,
51706,Thesis Preparation II,3,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hanington,
51712,Graduate Design Studio II,12,A,MW,01:30PM,04:20PM,MM 215,"Pittsburgh, Pennsylvania",Scupelli,
51718,Design Practicum,3,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cicozi,
51720,Design Research,May-36,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Smith,
51731,Mapping and Diagramming,12,A,MW,11:30AM,01:20PM,MM 121,"Pittsburgh, Pennsylvania",Moyer,
51744,Research Methods for Human Centered Design,9,A,TR,10:00AM,11:20AM,MM 215,"Pittsburgh, Pennsylvania",Hanington,
51748,Cardboard Modeling I: Exploring expressive form & interaction,6,A3,MW,08:30AM,11:20AM,MM 121,"Pittsburgh, Pennsylvania",Frens,
51752,Cardboard Modeling II: Exploring expressive product behavior,6,A4,MW,08:30AM,11:20AM,MM 121,"Pittsburgh, Pennsylvania",Frens,
51785,Designing for Service,12,A,TR,11:30AM,01:20PM,MM A11,"Pittsburgh, Pennsylvania",Forlizzi,
51791,Morality Play: Laboratory for Interactive Media & Values Education,12,A,TR,10:30AM,11:50AM,BH 150,"Pittsburgh, Pennsylvania",Norman,
51792,Designing & Leading a Business,12,A,TR,01:30PM,03:20PM,POS 145,"Pittsburgh, Pennsylvania",Cunningham,
51796,Design Ethos & Action,12,A,MW,09:00AM,11:20AM,MM A11,"Pittsburgh, Pennsylvania",Scupelli,
51799,Graduate Independent Study,24-Mar,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,F,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,G,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
51802,Design Thesis II,21,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Hanington,
51824,Basic 3D Prototyping,6,A3,F,09:00AM,11:50AM,PH 27,"Pittsburgh, Pennsylvania",Stygar,
51828,Advanced Web Design,12,A,MW,04:30PM,06:20PM,MM B3,"Pittsburgh, Pennsylvania",Twigg,
51831,Methodology of Visualization,12,A,TR,04:30PM,06:20PM,MM 107,"Pittsburgh, Pennsylvania",Zywica,
51856,Visualization in Design,6,A3,MW,01:30PM,03:20PM,INT 103,"Pittsburgh, Pennsylvania",Anderson,
51876,Semantics & Aesthetics,12,A,WF,12:00PM,01:20PM,MM 107,"Pittsburgh, Pennsylvania",Zywica,
51878,Designed Fictions & Imagined Futures,12,A,TR,01:30PM,03:20PM,MM 107,"Pittsburgh, Pennsylvania",Kelliher,
51880,Experiential Media Design,12,A,TR,11:30AM,12:50PM,MM 107,"Pittsburgh, Pennsylvania",Kelliher,
51882,Interactive Art and Computational Design,12,A,TR,08:30AM,11:20AM,CFA 111,"Pittsburgh, Pennsylvania",Levin,
51884,Creating in Social Complexity,12,A,F,12:30PM,04:20PM,MM 215,"Pittsburgh, Pennsylvania",Instructor TBA,
51912,Doctoral Thesis Preparation,5,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Tonkinwise,
51916,Research OF Designing II,VAR,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tonkinwise,
,,,B,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tonkinwise,
51918,Research FOR Designing II,VAR,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tonkinwise,
51920,Research BY Designing II,VAR,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tonkinwise,
51936,Retrospective Preparation II,18,B,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tonkinwise,
51946,Transition Design II,6,A,MW,10:00AM,11:20AM,MM 215,"Pittsburgh, Pennsylvania",Irwin,
51950,Progress Reviews I,3,A4,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tonkinwise,
51976,Teaching Design II,6,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tonkinwise,
51980,Design Research Intensive I,3,A4,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Tonkinwise,
Dietrich College Information Systems,,,,,,,,,,
67051,Study Abroad,0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
67211,Introduction to Business Systems Programming,6,A,R,06:30PM,07:50PM,PH A22,"Pittsburgh, Pennsylvania",Scott,
67250,The Information Systems Milieux,9,A,TR,12:00PM,01:20PM,DH 1117,"Pittsburgh, Pennsylvania",McKnight,
,,,B,TR,01:30PM,02:50PM,PH 226B,"Pittsburgh, Pennsylvania",McKnight,
,,,W,MW,03:00PM,04:20PM,TBA,"Doha, Qatar",Instructor TBA,
67272,Application Design and Development,9,W,UTR,09:30AM,10:20AM,TBA,"Doha, Qatar",Phelps,
,,,X,UTR,01:30PM,02:20PM,TBA,"Doha, Qatar",Phelps,
,,,Lec 1,TR,01:30PM,02:50PM,BH A53,"Pittsburgh, Pennsylvania",Heimann,
,,,A,T,07:30PM,09:20PM,PH A19D,"Pittsburgh, Pennsylvania",Heimann,
,,,B,W,12:00PM,01:50PM,TBD TBD,"Pittsburgh, Pennsylvania",Heimann,
,,,C,W,07:30PM,09:20PM,WEH 5304,"Pittsburgh, Pennsylvania",Heimann,
,,,Lec 2,TR,10:30AM,11:50AM,WEH 6423,"Pittsburgh, Pennsylvania",Heimann,
,,,D,R,07:30PM,09:20PM,PH A19D,"Pittsburgh, Pennsylvania",Heimann,
,,,E,M,07:30PM,09:20PM,PH A19C,"Pittsburgh, Pennsylvania",Heimann,
67306,Special Topics: Management of Computer and Information Systems,6,A4,W,06:30PM,09:20PM,WEH 5320,"Pittsburgh, Pennsylvania",Kowalsky,
67308,Innovation Studio: Health Care Information Systems,6,A4,TR,03:00PM,04:20PM,PH A20,"Pittsburgh, Pennsylvania",Taylor,
67317,Mobile Web Development and Usability Testing,9,W,MW,01:30PM,02:50PM,TBA,"Doha, Qatar",Liginlal,
67319,Global Technology Consulting Groundwork,3,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Mertz,
67323,Enterprise Systems: Concepts and Practice,9,W,MW,10:30AM,11:50AM,CMB 2062,"Doha, Qatar",Tsai,
67329,Contemporary Themes in Global Systems,9,A,TR,10:30AM,11:50AM,WEH 4623,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,W,MW,09:00AM,10:20AM,TBA,"Doha, Qatar",Limam Mansar,
67353,IT & Environmental Sustainability,6,A3,TR,03:00PM,04:20PM,HH B103,"Pittsburgh, Pennsylvania",Instructor TBA,
67357,Healthcare Analytics and Big Data,9,W,UT,03:00PM,04:20PM,TBA,"Doha, Qatar",Liginlal,
67358,Technologies in Service Design,9,W,UT,01:30PM,02:50PM,TBA,"Doha, Qatar",Cheek,
67359,Design Fundamentals II,9,W,UT,04:30PM,05:50PM,TBA,"Doha, Qatar",Cheek,
67362,Big Data and Analytics,9,A,TR,12:00PM,01:20PM,BH 235B,"Pittsburgh, Pennsylvania","Weinberg, Sooriamurthi",
67373,Software Development Project,12,A,MW,10:30AM,11:50AM,WEH 5403,"Pittsburgh, Pennsylvania","Mertz, Weinberg, Heimann, Sooriamurthi, McKnight",
,,,W,TBA,,,DNM DNM,"Doha, Qatar",Tsai,
,,,X,TBA,,,DNM DNM,"Doha, Qatar",Hakim,
,,,Y,TBA,,,DNM DNM,"Doha, Qatar",Instructor TBA,
67390,Independent Study in Information Systems,12-Jan,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Heimann,
,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",McKnight,
,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Sooriamurthi,
,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Weinberg,
,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Mertz,
,,,W,TBA,,,TBA,"Doha, Qatar",Liginlal,
,,,X,TBA,,,DNM DNM,"Doha, Qatar",Limam Mansar,
67474,Tech Startup Launchpad,9,W,TBA,,,TBA,"Doha, Qatar",Hakim,
67475,Innovation in Information Systems,12,W,TBA,,,TBA,"Doha, Qatar",Hakim,
67495,Advanced Projects in Information Systems,12-Mar,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Heimann,
,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",McKnight,
,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Sooriamurthi,
,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Weinberg,
,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Mertz,
67505,Information Systems Internship,3-Jan,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Heimann,
,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",McKnight,
,,,C,TBA,,,TBA,"Pittsburgh, Pennsylvania",Sooriamurthi,
,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Weinberg,
,,,E,TBA,,,TBA,"Pittsburgh, Pennsylvania",Mertz,
Dietrich College Interdisciplinary,,,,,,,,,,
66050,Study Abroad,0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
66051,Study Abroad,0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
66204,Film Festival,9-Mar,A,R,04:30PM,05:50PM,WEH 8427,"Pittsburgh, Pennsylvania",Lion,
66230,Elective Seminar: American Political Journalism,12,A,W,06:30PM,09:00PM,TBA,"Washington, District of Columbia:Dulles",Instructor TBA,
66307,Independent Study,18-Jun,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,B,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
66312,CMUWSPCore Seminar: The Supreme Court,12,A,R,06:00PM,09:00PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66313,CMUWSP Elective Seminar: Fiscal Policy-making in the U.S.,12,A,T,06:00PM,09:00PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66314,"CMUWSP Elective Seminar: Sports, Politics and Society",12,A,W,06:30PM,09:00PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66315,CMUWSP Elective Seminar: The Communicator's Dilemma: Covering Politics and Gover,12,A,T,06:00PM,09:00PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66316,CMUWSP Elective Seminar: 21st Century Diplomacy: Challenges and Opportunities,12,A,R,06:00PM,09:00PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66317,CMUWSP Elective Seminar: Politics and Poems: Writing Verse in DC,12,A,R,06:30PM,09:00PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66320,Internship,18-Mar,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
66321,CMUWSP Internship Seminar,15,A,F,01:30PM,03:50PM,MDC 510,"Washington, District of Columbia:Dulles",Devine,
66323,Core Seminar: Congress,12,A,T,10:00AM,12:50PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66324,Core Seminar: Washington Media,12,A,W,10:00AM,01:00PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66325,Core Seminar: General Research,12,A,R,10:00AM,12:50PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66327,Core Seminar:International Policy and The Global System of the 21st Century,12,A,W,06:00PM,09:00PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66328,"Elective Seminar: Lobbying, Money and Influence in Washington",12,A,T,06:00PM,09:00PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66332,Elective Seminar: The Theater of Politics,12,A,R,07:00PM,09:00PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66334,Elective Seminar: Campaigns and Elections,12,A,W,06:00PM,09:00PM,TBA,"Washington, District of Columbia:Dulles",Devine,
66501,H&SS Senior Honors Thesis I,9,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Weinberg,
,,,B,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,C,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,D,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,E,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,LL,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,OO,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,W,TBA,,,DNM DNM,"Doha, Qatar",Liginlal,
66502,H&SS Senior Honors Thesis II,9,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Kittur,
,,,AA,TBA,,,TBA,"Pittsburgh, Pennsylvania",Awad Scrocco,
,,,B,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Seltman,
,,,BB,TBA,,,TBA,"Pittsburgh, Pennsylvania",Shalizi,
,,,C,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Helgeson,
,,,CC,TBA,,,TBA,"Pittsburgh, Pennsylvania",Polansky,
,,,D,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Dilworth,
,,,DD,TBA,,,TBA,"Pittsburgh, Pennsylvania",Klatzky,
,,,E,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",McCafferty,
,,,EE,TBA,,,TBA,"Pittsburgh, Pennsylvania",Fischhoff,
,,,F,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Bernstein,
,,,FF,TBA,,,TBA,"Pittsburgh, Pennsylvania",Schlossman,
,,,G,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Werner,
,,,GG,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Ritivoi,
,,,H,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Fisher,
,,,HH,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Creasman,
,,,I,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Knapp,
,,,II,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Nugent,
,,,J,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Achugar,
,,,JJ,TBA,,,TBA,"Pittsburgh, Pennsylvania",Iwasaki,
,,,K,TBA,,,TBA,"Pittsburgh, Pennsylvania",Broomell,
,,,KK,TBA,,,TBA,"Pittsburgh, Pennsylvania",Eichmanns,
,,,L,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Costanzo,
,,,LL,TBA,,,TBA,"Pittsburgh, Pennsylvania",Skibba,
,,,M,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Slate,
,,,MM,TBA,,,TBA,"Pittsburgh, Pennsylvania",Devine,
